date,open,high,low,close,adj_close,volume
2021-01-04,375.30999755859375,375.45001220703125,364.82000732421875,368.7900085449219,367.5860900878906,110210800
2021-01-05,368.1000061035156,372.5,368.04998779296875,371.3299865722656,370.1177673339844,66426200
2021-01-06,369.7099914550781,376.9800109863281,369.1199951171875,373.54998779296875,372.33050537109375,107997700
2021-01-07,376.1000061035156,379.8999938964844,375.9100036621094,379.1000061035156,377.8624267578125,68766800
2021-01-08,380.5899963378906,381.489990234375,377.1000061035156,381.260009765625,380.015380859375,71677200
2021-01-11,377.8500061035156,380.5799865722656,377.7200012207031,378.69000244140625,377.4537658691406,51176700
2021-01-12,378.8900146484375,379.8599853515625,376.3599853515625,378.7699890136719,377.5334777832031,52547700
2021-01-13,378.69000244140625,380.8599853515625,377.8500061035156,379.7900085449219,378.5501708984375,45303600
2021-01-14,380.5899963378906,381.1300048828125,378.1000061035156,378.4599914550781,377.2244873046875,49989100
2021-01-15,376.7200012207031,377.5799865722656,373.70001220703125,375.70001220703125,374.4735107421875,107160000
2021-01-19,378.3399963378906,379.2300109863281,376.75,378.6499938964844,377.41387939453125,51233300
2021-01-20,381.1099853515625,384.7900085449219,380.69000244140625,383.8900146484375,382.63677978515625,61836100
2021-01-21,384.489990234375,384.95001220703125,383.25,384.239990234375,382.9856262207031,47955800
2021-01-22,382.25,384.1300048828125,381.8399963378906,382.8800048828125,381.63006591796875,52860500
2021-01-25,383.6700134277344,384.7699890136719,378.4599914550781,384.3900146484375,383.1351623535156,70402000
2021-01-26,385.4100036621094,385.8500061035156,383.5400085449219,383.7900085449219,382.537109375,42665300
2021-01-27,380.2200012207031,380.32000732421875,372.010009765625,374.4100036621094,373.1877136230469,123351100
2021-01-28,376.3599853515625,381.92999267578125,375.8900146484375,377.6300048828125,376.397216796875,94198100
2021-01-29,375.6300048828125,376.6700134277344,368.2699890136719,370.07000732421875,368.8619079589844,126618400
2021-02-01,373.7200012207031,377.3399963378906,370.3800048828125,376.2300109863281,375.0018005371094,75817600
2021-02-02,379.6499938964844,383.2200012207031,376.32000732421875,381.54998779296875,380.3044128417969,64450700
2021-02-03,382.44000244140625,383.70001220703125,380.4800109863281,381.8500061035156,380.6034240722656,52427100
2021-02-04,382.9599914550781,386.239990234375,381.9700012207031,386.19000244140625,384.92926025390625,47142600
2021-02-05,388.20001220703125,388.4700012207031,386.1400146484375,387.7099914550781,386.4443054199219,48620300
2021-02-08,389.2699890136719,390.55999755859375,388.3500061035156,390.510009765625,389.23516845703125,38365200
2021-02-09,389.6099853515625,390.8900146484375,389.1700134277344,390.25,388.97601318359375,35551100
2021-02-10,392.1199951171875,392.2799987792969,387.5,390.0799865722656,388.8065490722656,59154400
2021-02-11,391.239990234375,391.69000244140625,388.1000061035156,390.7099914550781,389.43450927734375,42755400
2021-02-12,389.8500061035156,392.8999938964844,389.7699890136719,392.6400146484375,391.35821533203125,50505700
2021-02-16,393.9599914550781,394.1700134277344,391.5299987792969,392.29998779296875,391.0193176269531,50972400
2021-02-17,390.4200134277344,392.6600036621094,389.3299865722656,392.3900146484375,391.1090393066406,52290600
